,id,proto,srcip,dstip,srcport,dstport,payload_size,shannon,bien,tbien,flow
233,tZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.563373039263677,0.9444321874537946,0.98706382131902,127.0.0.1:1151 -> 127.0.0.1:8088
235,uZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5792509598559977,0.9529267211846516,0.9880935182631136,127.0.0.1:1151 -> 127.0.0.1:8088
237,vZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5956140299084783,0.9353647897264672,0.9853535913565372,127.0.0.1:1151 -> 127.0.0.1:8088
239,wZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5835772712423588,0.4571389647753273,0.9834646473631536,127.0.0.1:1151 -> 127.0.0.1:8088
241,xZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.618027622772722,0.4553560783159194,0.9790520788409852,127.0.0.1:1151 -> 127.0.0.1:8088
242,gpi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6220503022210714,0.4601440018417162,0.9806173925615445,127.0.0.1:1151 -> 127.0.0.1:8088
244,w5i1GHwBASTB4nx99wIS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6019061941650568,0.453070090910833,0.9807091487592684,127.0.0.1:1151 -> 127.0.0.1:8088
247,hpi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5979256436494601,0.4615493890688708,0.9834636702622864,127.0.0.1:1151 -> 127.0.0.1:8088
249,ipi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6067454924721498,0.944204323888224,0.9853999598507,127.0.0.1:1151 -> 127.0.0.1:8088
250,x5i1GHwBASTB4nx99wIS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6142887137019409,0.926582257472593,0.9826621388238028,127.0.0.1:1151 -> 127.0.0.1:8088
251,jpi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6264532958431664,0.944264526214082,0.9827142218617952,127.0.0.1:1151 -> 127.0.0.1:8088
252,y5i1GHwBASTB4nx99wIS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5846426772820082,0.4525349575012483,0.9788459485865456,127.0.0.1:1151 -> 127.0.0.1:8088
253,kpi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5927661550912887,0.2429359839109781,0.97667063766276,127.0.0.1:1151 -> 127.0.0.1:8088
256,z5i1GHwBASTB4nx99wIS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5878780120090339,0.9352156464568784,0.9856942576296592,127.0.0.1:1151 -> 127.0.0.1:8088
258,opi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6025954194423756,0.4616323373530603,0.9844546607860536,127.0.0.1:1151 -> 127.0.0.1:8088
260,ppi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.591768018710397,0.950746528603034,0.9903788445101852,127.0.0.1:1151 -> 127.0.0.1:8088
263,spi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6132304533983818,0.9529604606806032,0.9886097194010428,127.0.0.1:1151 -> 127.0.0.1:8088
264,45i1GHwBASTB4nx99wIS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6025954194423756,0.0299836345777563,0.9663259301058488,127.0.0.1:1151 -> 127.0.0.1:8088
266,55i1GHwBASTB4nx99wIS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5763846601552124,0.4553388217453483,0.983282060168221,127.0.0.1:1151 -> 127.0.0.1:8088
